,0,1,2,3,4,5,6,7,8,9,10,11
92,1608336000000,1.7100,1.7675,1.6610,1.6719,24504.32000000,1608422399999,41988.8710,327,7845.81000000,13513.5477,0
93,1608422400000,1.6639,1.6800,1.5213,1.5700,25928.55000000,1608508799999,41071.5522,221,12863.48000000,20290.3977,0
94,1608508800000,1.5700,1.6195,1.5000,1.5589,16997.56000000,1608595199999,26316.8871,184,6985.84000000,10809.6052,0
95,1608595200000,1.5368,1.5863,1.4765,1.4923,17379.04000000,1608681599999,26625.6841,262,10713.09000000,16411.8159,0
96,1608681600000,1.4963,1.5000,1.0939,1.2025,107789.41000000,1608767999999,140970.6430,651,30256.90000000,38977.1059,0
97,1608768000000,1.2025,1.3819,1.1744,1.3591,32640.43000000,1608854399999,42525.4753,289,27535.15000000,35971.7070,0
98,1608854400000,1.3591,1.4619,1.3500,1.4296,48978.95000000,1608940799999,69655.0642,405,31300.44000000,44672.0448,0
99,1608940800000,1.4475,1.4475,1.3167,1.3235,12668.04000000,1609027199999,17299.7153,179,6560.51000000,8958.5145,0
100,1609027200000,1.3234,1.4145,1.2544,1.3021,70460.25000000,1609113599999,92628.7979,488,31049.00000000,40633.6787,0
101,1609113600000,1.3495,1.5210,1.3235,1.5210,25267.51000000,1609199999999,36285.0260,303,14633.17000000,20873.2133,0
102,1609200000000,1.5210,1.7319,1.4452,1.6709,96960.91000000,1609286399999,154245.8832,926,56319.52000000,89838.9161,0
103,1609286400000,1.6794,1.7200,1.5296,1.5348,45236.29000000,1609372799999,72712.5751,616,16885.99000000,27293.2972,0
104,1609372800000,1.5307,1.5556,1.4234,1.5164,70729.28000000,1609459199999,105823.0952,392,25145.92000000,37322.9086,0
105,1609459200000,1.5163,1.8678,1.5147,1.8528,104909.97000000,1609545599999,177464.5048,713,55773.20000000,93811.1336,0
106,1609545600000,1.8369,2.0000,1.7175,1.7909,106847.32000000,1609631999999,195761.7024,1063,35209.69000000,65719.9543,0
107,1609632000000,1.8143,2.3800,1.8027,2.1859,228059.61000000,1609718399999,473551.3583,1873,105636.62000000,220694.4382,0
108,1609718400000,2.1938,2.4900,1.8870,2.4900,146676.57000000,1609804799999,332153.1908,2287,81808.52000000,185780.1975,0
109,1609804800000,2.4852,2.5000,2.0743,2.1585,226222.82000000,1609891199999,510776.4532,1826,96416.20000000,222080.9044,0
110,1609891200000,2.1722,2.1842,1.9430,1.9653,247919.51000000,1609977599999,506475.3275,2624,92784.89000000,189877.0977,0
111,1609977600000,1.9653,2.6484,1.9653,2.3600,541234.12000000,1610063999999,1229517.5871,5154,276437.97000000,630164.1430,0
112,1610064000000,2.3876,3.8128,2.2100,3.2364,663744.03000000,1610150399999,2149542.6741,4178,340519.67000000,1098970.2211,0
113,1610150400000,3.2311,3.6836,2.9380,3.3859,311973.86000000,1610236799999,1026724.5225,2819,167730.79000000,555273.7415,0
114,1610236800000,3.4047,3.7600,3.1761,3.4739,152584.96000000,1610323199999,526637.4437,1660,69077.98000000,240634.5532,0
115,1610323200000,3.4262,3.5088,2.6457,3.1455,114525.45000000,1610409599999,360340.9025,1707,54148.22000000,168276.9829,0
116,1610409600000,3.1456,3.9200,3.1373,3.9200,104827.84000000,1610495999999,373022.1160,2508,54351.85000000,194895.3926,0
117,1610496000000,3.9200,5.9880,3.5482,3.8126,121755.96000000,1610582399999,483015.0251,2786,62560.46000000,250391.3495,0
118,1610582400000,3.8126,4.2500,3.4693,3.6316,90332.54000000,1610668799999,345065.5868,2059,35940.70000000,139140.4545,0
119,1610668800000,3.6060,3.9500,2.9826,3.2456,134307.91000000,1610755199999,452199.7102,1850,59580.76000000,197140.3888,0
120,1610755200000,3.2783,3.6975,3.2734,3.4555,208509.94000000,1610841599999,723089.0561,3224,126694.61000000,439939.0550,0
121,1610841600000,3.4242,4.0644,3.3306,3.8204,222191.44000000,1610927999999,822735.8298,3242,135089.20000000,505513.6457,0
122,1610928000000,3.8362,4.1562,3.6842,3.8018,140976.36000000,1611014399999,549956.6660,2173,80099.74000000,312286.8253,0
123,1611014400000,3.7988,4.0430,3.5666,3.6463,158482.37000000,1611100799999,602623.6929,2233,87838.29000000,333323.3658,0
124,1611100800000,3.6437,3.7444,3.3514,3.7370,113296.73000000,1611187199999,407301.0210,1604,72093.52000000,258790.4418,0
125,1611187200000,3.7169,3.7181,3.0000,3.0003,103022.98000000,1611273599999,347895.7843,1493,45584.65000000,153751.9572,0
126,1611273600000,3.0003,3.5155,2.7123,3.3262,113560.76000000,1611359999999,349280.2082,1719,65166.01000000,201352.0431,0
127,1611360000000,3.3475,3.6251,3.3103,3.5204,88669.61000000,1611446399999,309148.0905,1055,41267.30000000,144284.2831,0
128,1611446400000,3.5152,3.8173,3.5000,3.6250,60080.67000000,1611532799999,218351.4079,897,30048.11000000,110269.6296,0
129,1611532800000,3.6250,3.9772,3.4494,3.7099,190142.00000000,1611619199999,704567.8729,2097,96078.95000000,356540.3746,0
130,1611619200000,3.7100,4.1050,3.6634,4.0499,173959.82000000,1611705599999,683194.4237,2011,109894.08000000,433110.6500,0
131,1611705600000,4.0499,4.0507,3.5256,3.7000,70858.31000000,1611791999999,267534.5213,978,28642.41000000,107786.4461,0
132,1611792000000,3.6999,3.9514,3.6176,3.8416,77594.78000000,1611878399999,294147.6125,784,39570.83000000,150717.4002,0
133,1611878400000,3.8268,3.8848,3.6500,3.8499,62314.99000000,1611964799999,234976.2657,1080,23182.21000000,87582.4814,0
134,1611964800000,3.8499,4.3308,3.7853,4.2350,280650.59000000,1612051199999,1124443.2048,2612,196853.05000000,786422.5255,0
135,1612051200000,4.2431,4.7897,4.1640,4.2706,359542.37000000,1612137599999,1590544.3210,3477,193969.45000000,865093.9460,0
136,1612137600000,4.2685,4.6196,4.1217,4.6196,85403.49000000,1612223999999,371374.1696,1146,39373.34000000,171983.1345,0
137,1612224000000,4.6269,5.4002,4.4764,5.2558,263444.85000000,1612310399999,1332576.2146,3346,146565.84000000,736756.1609,0
